time,Outdoor AQI,Dining Hall D2 AQI,Campus Center AQI,Hazardous,Very Unheathy,Unhealthy,Unhealthy for Sensitive Groups,Moderate,Good
2023-09-20 11:00,130,47,51,0,300,200,150,100,50
2023-09-20 12:00,105,58,29,0,300,200,150,100,50
2023-09-20 13:00,113,67,25,0,300,200,150,100,50
2023-09-20 14:00,151,54,23,0,300,200,150,100,50
2023-09-20 15:00,158,70,29,0,300,200,150,100,50
2023-09-20 16:00,159,70,42,0,300,200,150,100,50
2023-09-20 17:00,154,82,45,0,300,200,150,100,50
2023-09-20 18:00,154,94,46,0,300,200,150,100,50
2023-09-20 19:00,149,93,52,0,300,200,150,100,50
2023-09-20 20:00,153,104,56,0,300,200,150,100,50
2023-09-20 21:00,155,96,55,0,300,200,150,100,50
2023-09-20 22:00,158,82,60,0,300,200,150,100,50
2023-09-20 23:00,154,79,62,0,300,200,150,100,50
2023-09-21 00:00,152,64,62,0,300,200,150,100,50
2023-09-21 01:00,151,60,61,0,300,200,150,100,50
2023-09-21 02:00,143,59,60,0,300,200,150,100,50
2023-09-21 03:00,137,61,60,0,300,200,150,100,50
2023-09-21 04:00,145,65,63,0,300,200,150,100,50
2023-09-21 05:00,151,63,64,0,300,200,150,100,50
2023-09-21 06:00,153,65,60,0,300,200,150,100,50
2023-09-21 07:00,152,71,59,0,300,200,150,100,50
2023-09-21 08:00,152,85,53,0,300,200,150,100,50
2023-09-21 09:00,157,102,61,0,300,200,150,100,50
2023-09-21 10:00,160,113,80,0,300,200,150,100,50
2023-09-21 11:00,159,116,70,0,300,200,150,100,50
2023-09-21 12:00,158,134,66,0,300,200,150,100,50
2023-09-21 13:00,158,146,74,0,300,200,150,100,50
2023-09-21 14:00,161,141,74,0,300,200,150,100,50
2023-09-21 15:00,162,128,71,0,300,200,150,100,50
2023-09-21 16:00,#DIV/0!,95,72,0,300,200,150,100,50
2023-09-21 17:00,#DIV/0!,103,69,0,300,200,150,100,50
2023-09-21 18:00,#DIV/0!,133,73,0,300,200,150,100,50
2023-09-21 19:00,#DIV/0!,108,71,0,300,200,150,100,50
2023-09-21 20:00,151,117,71,0,300,200,150,100,50
2023-09-21 21:00,119,94,67,0,300,200,150,100,50
2023-09-21 22:00,97,69,62,0,300,200,150,100,50
2023-09-21 23:00,84,57,59,0,300,200,150,100,50
2023-09-22 00:00,75,45,56,0,300,200,150,100,50
2023-09-22 01:00,74,40,52,0,300,200,150,100,50
2023-09-22 02:00,70,40,47,0,300,200,150,100,50
2023-09-22 03:00,68,36,42,0,300,200,150,100,50
2023-09-22 04:00,72,47,41,0,300,200,150,100,50
2023-09-22 05:00,68,35,42,0,300,200,150,100,50
2023-09-22 06:00,81,37,36,0,300,200,150,100,50
2023-09-22 07:00,141,59,38,0,300,200,150,100,50
2023-09-22 08:00,117,80,51,0,300,200,150,100,50
2023-09-22 09:00,85,72,52,0,300,200,150,100,50
2023-09-22 10:00,99,69,51,0,300,200,150,100,50
2023-09-22 11:00,93,70,45,0,300,200,150,100,50
2023-09-22 12:00,79,68,42,0,300,200,150,100,50
2023-09-22 13:00,81,75,44,0,300,200,150,100,50
2023-09-22 14:00,75,68,44,0,300,200,150,100,50
2023-09-22 15:00,67,51,39,0,300,200,150,100,50
2023-09-22 16:00,69,47,34,0,300,200,150,100,50
2023-09-22 17:00,73,49,35,0,300,200,150,100,50
2023-09-22 18:00,77,70,34,0,300,200,150,100,50
2023-09-22 19:00,75,75,38,0,300,200,150,100,50
2023-09-22 20:00,78,67,39,0,300,200,150,100,50
2023-09-22 21:00,89,61,38,0,300,200,150,100,50
2023-09-22 22:00,104,56,46,0,300,200,150,100,50
2023-09-22 23:00,109,54,47,0,300,200,150,100,50
2023-09-23 00:00,114,56,50,0,300,200,150,100,50
2023-09-23 01:00,119,52,52,0,300,200,150,100,50
2023-09-23 02:00,109,52,51,0,300,200,150,100,50
2023-09-23 03:00,117,52,52,0,300,200,150,100,50
2023-09-23 04:00,136,54,52,0,300,200,150,100,50
2023-09-23 05:00,135,57,54,0,300,200,150,100,50
2023-09-23 06:00,#DIV/0!,59,52,0,300,200,150,100,50
2023-09-23 07:00,#DIV/0!,72,53,0,300,200,150,100,50
2023-09-23 08:00,#DIV/0!,73,56,0,300,200,150,100,50
2023-09-23 09:00,#DIV/0!,63,52,0,300,200,150,100,50
2023-09-23 10:00,#DIV/0!,40,37,0,300,200,150,100,50
2023-09-23 11:00,#DIV/0!,37,30,0,300,200,150,100,50
2023-09-23 12:00,#DIV/0!,55,25,0,300,200,150,100,50
2023-09-23 13:00,#DIV/0!,59,25,0,300,200,150,100,50
2023-09-23 14:00,#DIV/0!,59,23,0,300,200,150,100,50
2023-09-23 15:00,#DIV/0!,47,25,0,300,200,150,100,50
2023-09-23 16:00,#DIV/0!,44,25,0,300,200,150,100,50
2023-09-23 17:00,#DIV/0!,49,25,0,300,200,150,100,50
2023-09-23 18:00,#DIV/0!,76,25,0,300,200,150,100,50
2023-09-23 19:00,#DIV/0!,73,27,0,300,200,150,100,50
2023-09-23 20:00,#DIV/0!,98,28,0,300,200,150,100,50
2023-09-23 21:00,#DIV/0!,60,33,0,300,200,150,100,50
2023-09-23 22:00,#DIV/0!,44,28,0,300,200,150,100,50
2023-09-23 23:00,88,35,27,0,300,200,150,100,50
2023-09-24 00:00,105,36,29,0,300,200,150,100,50
2023-09-24 01:00,#DIV/0!,42,35,0,300,200,150,100,50
2023-09-24 02:00,#DIV/0!,45,42,0,300,200,150,100,50
2023-09-24 03:00,#DIV/0!,34,37,0,300,200,150,100,50
2023-09-24 04:00,#DIV/0!,29,31,0,300,200,150,100,50
2023-09-24 05:00,#DIV/0!,26,29,0,300,200,150,100,50
2023-09-24 06:00,#DIV/0!,21,22,0,300,200,150,100,50
2023-09-24 07:00,#DIV/0!,27,18,0,300,200,150,100,50
2023-09-24 08:00,#DIV/0!,22,17,0,300,200,150,100,50
2023-09-24 09:00,#DIV/0!,22,14,0,300,200,150,100,50
2023-09-24 10:00,#DIV/0!,23,13,0,300,200,150,100,50
2023-09-24 11:00,#DIV/0!,26,16,0,300,200,150,100,50
2023-09-24 12:00,#DIV/0!,47,13,0,300,200,150,100,50
2023-09-24 13:00,#DIV/0!,58,13,0,300,200,150,100,50
2023-09-24 14:00,#DIV/0!,52,15,0,300,200,150,100,50
2023-09-24 15:00,#DIV/0!,27,15,0,300,200,150,100,50
2023-09-24 16:00,#DIV/0!,36,16,0,300,200,150,100,50
2023-09-24 17:00,#DIV/0!,54,17,0,300,200,150,100,50
2023-09-24 18:00,#DIV/0!,75,21,0,300,200,150,100,50
2023-09-24 19:00,#DIV/0!,84,23,0,300,200,150,100,50
2023-09-24 20:00,#DIV/0!,105,25,0,300,200,150,100,50
2023-09-24 21:00,#DIV/0!,67,25,0,300,200,150,100,50
2023-09-24 22:00,#DIV/0!,52,25,0,300,200,150,100,50
2023-09-24 23:00,#DIV/0!,33,25,0,300,200,150,100,50
2023-09-25 00:00,#DIV/0!,21,23,0,300,200,150,100,50
2023-09-25 01:00,#DIV/0!,17,20,0,300,200,150,100,50
2023-09-25 02:00,#DIV/0!,17,20,0,300,200,150,100,50
2023-09-25 03:00,#DIV/0!,16,20,0,300,200,150,100,50
2023-09-25 04:00,#DIV/0!,17,21,0,300,200,150,100,50
2023-09-25 05:00,#DIV/0!,17,22,0,300,200,150,100,50
2023-09-25 06:00,#DIV/0!,17,16,0,300,200,150,100,50
2023-09-25 07:00,#DIV/0!,31,15,0,300,200,150,100,50
2023-09-25 08:00,#DIV/0!,37,17,0,300,200,150,100,50
2023-09-25 09:00,#DIV/0!,33,19,0,300,200,150,100,50
2023-09-25 10:00,#DIV/0!,30,30,0,300,200,150,100,50
2023-09-25 11:00,#DIV/0!,47,24,0,300,200,150,100,50
2023-09-25 12:00,#DIV/0!,55,23,0,300,200,150,100,50
